word, noun, lemmatized, sentiment, source, ambiguity
абортивный, Adj, абортивный, negative, fact
копунья, Noun, копунья, negative, opinion
копуша, Noun, копуша, negative, opinion
коревой, Adj, коревой, negative, fact
корежить, Verb, корежить, negative, fact
кореш, Noun, кореш, positive, opinion
корить, Verb, корить, negative, fact
корифей, Noun, корифей, positive, opinion
корнать, Verb, корнать, negative, fact
коробить, Verb, коробить, negative, opinion
корова, Noun, корова, negative, opinion
корова, Noun, корова, neutral, fact
корова, Noun, корова, neutral, fact
коронный, Adj, коронный, neutral, fact
коронный, Adj, коронный, positive, opinion
короткое замыкание, NG, короткий замыкание, negative, fact
коротнуть, Verb, коротнуть, negative, fact
корректность, Noun, корректность, positive, opinion
корректный, Adj, корректный, positive, opinion
корродирование, Noun, корродирование, negative, fact
корродировать, Verb, корродировать, negative, fact
корродироваться, Verb, корродироваться, negative, fact
коррозийный, Adj, коррозийный, negative, fact
коррозионный, Adj, коррозионный, negative, fact
коррозировать, Verb, коррозировать, negative, fact
коррозия души, NG, коррозия душа, negative, opinion
коррозия, Noun, коррозия, negative, fact
коррумпирование, Noun, коррумпирование, negative, fact
коррумпированность, Noun, коррумпированность, negative, fact
коррумпированный, Adj, коррумпированный, negative, fact
коррумпировать, Verb, коррумпировать, negative, fact
коррумпироваться, Verb, коррумпироваться, negative, fact
коррупционер, Noun, коррупционер, negative, fact
коррупционерский, Adj, коррупционерский, negative, fact
коррупционность, Noun, коррупционность, negative, fact
коррупционный, Adj, коррупционный, negative, fact
коррупция, Noun, коррупция, negative, fact
корча, Noun, корча, negative, opinion
корыстный, Adj, корыстный, negative, opinion
корыстолюбец, Noun, корыстолюбец, negative, opinion
корыстолюбивый, Adj, корыстолюбивый, negative, opinion
корыстолюбие, Noun, корыстолюбие, negative, opinion
корысть, Noun, корысть, negative, opinion
корь, Noun, корь, negative, fact
корявость, Noun, корявость, negative, opinion
корявый, Adj, корявый, negative, opinion
коситься, Verb, коситься, negative, fact
коситься, Verb, коситься, negative, opinion
коситься, Verb, коситься, neutral, fact
коситься, Verb, коситься, neutral, fact
космическая цена, NG, космический цена, negative, opinion
космополит, Noun, космополит, negative, fact
космополитизм, Noun, космополитизм, negative, fact
космополитический, Adj, космополитический, negative, fact
космополитичный, Adj, космополитичный, negative, fact
космополитка, Noun, космополитка, negative, fact
косо глядеть, VG, косо глядеть, negative, opinion
косо смотреть, VG, косо смотреть, negative, opinion
костенеть, Verb, костенеть, negative, fact
костерить, Verb, костерить, negative, opinion
костить, Verb, костить, negative, opinion
костлявость, Noun, костлявость, negative, opinion
костлявый, Adj, костлявый, negative, opinion
костный перелом, NG, костный перелом, negative, fact
косяк, Noun, косяк, negative, opinion
косяк, Noun, косяк, neutral, fact
косяк, Noun, косяк, neutral, fact
косяк, Noun, косяк, neutral, fact
косяк, Noun, косяк, neutral, fact
косячить, Verb, косячить, negative, fact
котел окружения, NG, котел окружение, negative, fact
котеночек, Noun, котеночек, positive, opinion
котироваться, Verb, котироваться, neutral, fact
котироваться, Verb, котироваться, positive, opinion
кочевряжиться, Verb, кочевряжиться, negative, opinion
коченеть, Verb, коченеть, negative, feeling
кошечка, Noun, кошечка, positive, opinion
кошмар, Noun, кошмар, negative, feeling
кошмар, Noun, кошмар, negative, opinion
кошмарный, Adj, кошмарный, negative, feeling
кошмарный, Adj, кошмарный, negative, opinion
кошмарный, Adj, кошмарный, negative, opinion
кощунственный, Adj, кощунственный, negative, opinion
кощунство, Noun, кощунство, negative, opinion
кощунствовать, Verb, кощунствовать, negative, opinion
кража, Noun, кража, negative, fact
крайность, Noun, крайность, negative, opinion
крайняя степень, NG, крайний степень, negative, opinion
крамола, Noun, крамола, negative, opinion
крамольный, Adj, крамольный, negative, opinion
краса, Noun, краса, positive, opinion
красава, Noun, красава, positive, opinion
красавец, Noun, красавец, positive, opinion
красавица, Noun, красавица, positive, opinion
красавчик, Noun, красавчик, positive, opinion
красивейший, Adj, красивейший, positive, opinion
красивость, Noun, красивость, negative, opinion
красивый, Adj, красивый, positive, opinion
красить, Verb, красить, neutral, fact
красить, Verb, красить, positive, opinion
красная карточка, NG, красный карточка, negative, fact
краснеть от стыда, VG, краснеть от стыд, negative, feeling
краснобайство, Noun, краснобайство, negative, opinion
красного петуха пустить, VG, красный петух пустить, negative, fact
красноречивость, Noun, красноречивость, positive, opinion
красноречивый, Adj, красноречивый, positive, opinion
красноречие, Noun, красноречие, positive, opinion
краснуха, Noun, краснуха, negative, fact
красота, Noun, красота, positive, opinion
красотища, Noun, красотища, positive, opinion
красотка, Noun, красотка, positive, opinion
красочность, Noun, красочность, neutral, opinion
красочность, Noun, красочность, positive, opinion
красочный, Adj, красочный, neutral, fact
красочный, Adj, красочный, neutral, opinion
красочный, Adj, красочный, positive, opinion
красть, Verb, красть, negative, fact
крах, Noun, крах, negative, opinion
крепкий алкоголь, NG, крепкий алкоголь, neutral, fact
крепкий, Adj, крепкий, neutral, fact
крепкий, Adj, крепкий, positive, opinion
крепкий, Adj, крепкий, positive, opinion
крепкий, Adj, крепкий, positive, opinion
крепкий, Adj, крепкий, positive, opinion
крепко сбитый, NG, крепко сбитый, positive, opinion
крепко скроенный, NG, крепко скроенный, positive, opinion
крепкого сложения, NG, крепкий сложение, positive, opinion
крепкоголовость, Noun, крепкоголовость, negative, opinion
крепкоголовый, Adj, крепкоголовый, negative, opinion
крепкое телосложение, NG, крепкий телосложение, positive, opinion
крепколобость, Noun, крепколобость, negative, opinion
крепколобый, Adj, крепколобый, negative, opinion
крепнуть, Verb, крепнуть, positive, opinion
крепость, Noun, крепость, neutral, fact
крепость, Noun, крепость, neutral, fact
крепость, Noun, крепость, positive, opinion
крепость, Noun, крепость, positive, opinion
крепость, Noun, крепость, positive, opinion
крепость, Noun, крепость, positive, opinion
кретин, Noun, кретин, negative, opinion
кретинка, Noun, кретинка, negative, opinion
кривить душой, VG, кривить душа, negative, opinion
кривить лицо, VG, кривить лицо, negative, opinion
кривить нос, VG, кривить нос, negative, opinion
кривить рот, VG, кривить рот, negative, opinion
кривить сердцем, VG, кривить сердце, negative, opinion
кривить совестью, VG, кривить совесть, negative, opinion
кривляка, Noun, кривляка, negative, opinion
кривлянье, Noun, кривлянье, negative, opinion
кривляться, Verb, кривляться, negative, opinion
Кривой Рог, NG, кривой рог, neutral, fact
криворукий, Adj, криворукий, negative, opinion
кривотолки, Noun, кривотолки, negative, opinion
кризис, Noun, кризис, negative, opinion
кризис, Noun, кризис, negative, opinion
кризис, Noun, кризис, positive/negative, fact
кризисность, Noun, кризисность, negative, opinion
кризисный, Adj, кризисный, negative, opinion
крикун, Noun, крикун, negative, opinion
крикунья, Noun, крикунья, negative, opinion
криминал, Noun, криминал, negative, fact
криминализация, Noun, криминализация, negative, fact
криминалитет, Noun, криминалитет, negative, fact
криминальный, Adj, криминальный, negative, fact
криминогенность, Noun, криминогенность, negative, fact
криминогенный, Adj, криминогенный, negative, fact
кристальность, Noun, кристальность, positive, opinion
кристальный, Adj, кристальный, positive, opinion
критика, Noun, критика, negative, opinion
критика, Noun, критика, neutral, fact
критикан, Noun, критикан, negative, opinion
критиканка, Noun, критиканка, negative, opinion
критиканский, Adj, критиканский, negative, opinion
критиканство, Noun, критиканство, negative, opinion
критиканствовать, Verb, критиканствовать, negative, opinion
критиковать, Verb, критиковать, negative, opinion
критиковать, Verb, критиковать, neutral, fact
критически важный, AdjG, критически важный, neutral, opinion
критический, Adj, критический, negative, opinion
критический, Adj, критический, neutral, fact
критический, Adj, критический, neutral, fact
критичность, Noun, критичность, negative, opinion
критичность, Noun, критичность, neutral, fact
критичный, Adj, критичный, negative, opinion
кричать во все горло, VG, кричать во весь горло, negative, opinion
кровавый, Adj, кровавый, negative, fact
кровища, Noun, кровища, negative, fact
кровожадность, Noun, кровожадность, negative, opinion
кровожадный, Adj, кровожадный, negative, opinion
кровоизлияние, Noun, кровоизлияние, negative, fact
кровопивец, Noun, кровопивец, negative, opinion
кровопийца, Noun, кровопийца, negative, opinion
кровоподтек, Noun, кровоподтек, negative, fact
кровопотеря, Noun, кровопотеря, negative, fact
кровопролитие, Noun, кровопролитие, negative, fact
кровопролитнейший, Adj, кровопролитнейший, negative, fact
кровопролитный, Adj, кровопролитный, negative, fact
кровосмесительный, Adj, кровосмесительный, negative, fact
кровосмесительство, Noun, кровосмесительство, negative, fact
кровосмешение, Noun, кровосмешение, negative, fact
кровосос, Noun, кровосос, negative, fact
кровотечение, Noun, кровотечение, negative, fact
кровоточить, Verb, кровоточить, negative, fact
кровь в моче, NG, кровь в моча, negative, fact
кровь невинных, NG, кровь невинный, negative, opinion
крокодиловы слезы, NG, крокодиловый слеза, negative, opinion
крокодильи слезы, NG, крокодилий слеза, negative, opinion
кромешный, Adj, кромешный, negative, opinion
кропотливость, Noun, кропотливость, positive, opinion
кропотливый, Adj, кропотливый, positive, opinion
кроткий, Adj, кроткий, positive, opinion
кротость, Noun, кротость, positive, opinion
крохобор, Noun, крохобор, negative, opinion
крохоборка, Noun, крохоборка, negative, opinion
круговая порука, NG, круговой порука, negative, fact
кружится голова, VG, кружиться голова, negative, feeling
крутой поворот, NG, крутой поворот, neutral, fact
крутой разворот, NG, крутой разворот, neutral, fact
крутой, Adj, крутой, negative, opinion
крутой, Adj, крутой, neutral, fact
крутой, Adj, крутой, neutral, opinion
крутой, Adj, крутой, positive, opinion
крутость, Noun, крутость, negative, opinion
крутость, Noun, крутость, neutral, fact
круть, Noun, круть, positive, opinion
кручина, Noun, кручина, negative, feeling
крушение, Noun, крушение, negative, fact
крушение, Noun, крушение, negative, opinion
крушение, Noun, крушение, negative, opinion
крушить, Verb, крушить, negative, fact
крыса, Noun, крыса, negative, fact
крыса, Noun, крыса, negative, opinion
крыть матом, VG, крыть мат, negative, fact
крыть матом, VG, крыть мат, negative, feeling
крыть, Verb, крыть, negative, fact
крыть, Verb, крыть, neutral, fact
крыша едет, VG, крыша ехать, negative, feeling
крыша поехала, VG, крыша поехать, negative, feeling
крючкотвор, Noun, крючкотвор, negative, opinion
крючкотворка, Noun, крючкотворка, negative, opinion
крючкотворский, Adj, крючкотворский, negative, opinion
крючкотворство, Noun, крючкотворство, negative, opinion
ксенофоб, Noun, ксенофоб, negative, opinion
ксенофобия, Noun, ксенофобия, negative, fact
ксенофобка, Noun, ксенофобка, negative, opinion
ксенофобский, Adj, ксенофобский, negative, fact
кудесник, Noun, кудесник, positive, opinion
кудеснический, Adj, кудеснический, positive, opinion
кукла в чужих руках, NG, кукла в чужой рука, negative, opinion
кукла, Noun, кукла, negative, opinion
кукла, Noun, кукла, neutral, fact
кукла, Noun, кукла, neutral, fact
кулуарность, Noun, кулуарность, negative, opinion
кулуарный, Adj, кулуарный, negative, opinion
культ личности, NG, культ личность, negative, fact
культ, Noun, культ, neutral, fact
культ, Noun, культ, positive, feeling
культовый, Adj, культовый, neutral, fact
культовый, Adj, культовый, positive, feeling
культурная основа, NG, культурный основа, positive, fact
культурная традиция, NG, культурный традиция, positive, fact
кумир, Noun, кумир, positive, opinion
кумовство, Noun, кумовство, negative, opinion
кунак, Noun, кунак, positive, opinion
кунацкий, Adj, кунацкий, positive, opinion
кураж, Noun, кураж, positive, opinion
куражиться, Verb, куражиться, negative, opinion
курение, Noun, курение, negative, fact
куролесить, Verb, куролесить, negative, opinion
кусать локти, VG, кусать локоть, negative, feeling
кусать себе локти, VG, кусать себя локоть, negative, feeling
кустарный, Adj, кустарный, negative, opinion
кустарный, Adj, кустарный, neutral, fact
кутузка, Noun, кутузка, negative, fact
куча лишнего, NG, куча лишний, negative, opinion
куча нового, NG, куча новый, positive, opinion
лабуда, Noun, лабуда, negative, opinion
лавина, Noun, лавина, negative, fact
лавина, Noun, лавина, neutral, opinion
лавиноопасный, Adj, лавиноопасный, negative, opinion
лагать, Verb, лагать, negative, fact
ладиться, Verb, ладиться, positive, opinion
ладненько, Adv, ладненько, positive, opinion
лазейка, Noun, лазейка, negative, opinion
лазейка, Noun, лазейка, neutral, fact
лайк, Noun, лайк/лайков, positive, fact
лайкать, Verb, лайкать/лайкай, positive, fact
лайкнуть, Verb, лайкнуть, positive, fact
лакей, Noun, лакей, negative, opinion
лакей, Noun, лакей, neutral, fact
лакомка, Noun, лакомка, positive, opinion
лакомство, Noun, лакомство, positive, opinion
лакомый кусок, NG, лакомый кусок, negative, opinion
лакомый кусочек, NG, лакомый кусочек, negative, opinion
лакомый, Adj, лакомый, positive, feeling
лаконизм, Noun, лаконизм, positive, opinion
лаконичность, Noun, лаконичность, positive, opinion
лаконичный, Adj, лаконичный, positive, opinion
ламентация, Noun, ламентация, negative, opinion
лапать, Verb, лапать, negative, opinion
лапочка, Noun, лапочка, positive, opinion
лапушка, Noun, лапушка, positive, opinion
лапша на уши, NG, лапша на ухо, negative, fact
лапша, Noun, лапша, negative, opinion
лапша, Noun, лапша, neutral, fact
ласковость, Noun, ласковость, positive, opinion
ласковый, Adj, ласковый, positive, opinion
латание дыр, NG, латание дыра, negative, opinion
латать дыры, VG, латать дыра, negative, opinion
латентность, Noun, латентность, neutral, opinion
латентный, Adj, латентный, neutral, opinion
лгать, Verb, лгать, negative, opinion
лгун, Noun, лгун, negative, opinion
лгунишка, Noun, лгунишка, negative, opinion
лгунья, Noun, лгунья, negative, opinion
лебезить, Verb, лебезить, negative, opinion
левый алкоголь, NG, левый алкоголь, negative, fact В ТЕЗ EMPTY
легализация доходов, NG, легализация доход, negative, fact
легализация проституток, NG, легализация проститутка, negative, fact
легализация проституции, NG, легализация проституция, negative, fact
легальность, Noun, легальность, positive, opinion
легальный, Adj, легальный, positive, opinion
легендарность, Noun, легендарность, positive, opinion
легендарный, Adj, легендарный, neutral, fact
легендарный, Adj, легендарный, positive, opinion
легитимность, Noun, легитимность, positive, opinion
легитимный, Adj, легитимный, positive, opinion
легкая атмосфера, NG, легкий атмосфера, positive, feeling
легкий в общении, NG, легкий в общение, positive, opinion
легкий для восприятия, AG, легкий для восприятия, positive, opinion
легкий по характеру, NG, легкий по характер, positive, opinion
легкий, Adj, легкий, negative, opinion
легкий, Adj, легкий, neutral, opinion
легкий, Adj, легкий, neutral, opinion
легкий, Adj, легкий, positive, opinion
легкий, Adj, легкий, positive, opinion
легко дышать, VG, легко дышать, positive, feeling
легко дышаться, VG, легко дышаться, positive, feeling
легко на душе, PredicativeG, легкий на душа, positive, feeling
легковесность, Noun, легковесность, negative, opinion
легковесность, Noun, легковесность, neutral, opinion
легковесный, Adj, легковесный, negative, opinion
легковесный, Adj, легковесный, neutral, opinion
легковыполняемый, Adj, легковыполняемый, positive, opinion
легкое настроение, NG, легкий настроение, positive, feeling
легкомысленность, Noun, легкомысленность, negative, opinion
легкомысленный, Adj, легкомысленный, negative, opinion
легкомыслие, Noun, легкомыслие, negative, opinion
легкость, Noun, легкость, negative, opinion
легкость, Noun, легкость, neutral, opinion
легкость, Noun, легкость, neutral, opinion
легкость, Noun, легкость, positive, opinion
легонький, Adj, легонький, positive, opinion
легчать, Verb, легчать, positive, opinion
леденеть, Verb, леденеть, negative, fact
леденеть, Verb, леденеть, negative, feeling
леденеть, Verb, леденеть, neutral, fact
леденить, Verb, леденить, negative, feeling
леденить, Verb, леденить, neutral, fact
леденящий, Adj, леденящий, negative, opinion
ледяной, Adj, ледяной, negative, opinion
ледяной, Adj, ледяной, negative, opinion
ледяной, Adj, ледяной, neutral, fact
ледяной, Adj, ледяной, neutral, fact
лежебока, Noun, лежебока, negative, opinion
лезть в петлю, VG, лезть в петля, negative, fact
лезть не в свое дело, VG, лезть не в свой дело, negative, opinion
лезть, Verb, лезть, negative, opinion
лезть, Verb, лезть, neutral, fact
лезть, Verb, лезть, neutral, fact
лейкемия, Noun, лейкемия, negative, fact
лейкоз, Noun, лейкоз, negative, fact
лейкозный, Adj, лейкозный, negative, fact
лелеять, Verb, лелеять, positive, feeling
ленивец, Noun, ленивец, negative, opinion
ленивец, Noun, ленивец, neutral, fact
ленивость, Noun, ленивость, negative, opinion
ленивый, Adj, ленивый, negative, opinion
лениться, Verb, лениться, negative, opinion
леность, Noun, леность, negative, opinion
лентяй, Noun, лентяй, negative, opinion
лентяйка, Noun, лентяйка, negative, opinion
лентяйничать, Verb, лентяйничать, negative, opinion
лентяйствовать, Verb, лентяйствовать, negative, opinion
лень, Noun, лень, negative, opinion
лепта, Noun, лепта, neutral, fact
лепта, Noun, лепта, positive, opinion
лепта, Noun, лепта, positive, opinion
лестный, Adj, лестный, positive, opinion
лесть, Noun, лесть, negative, opinion
летальный, Adj, летальный, negative, fact
летаргический, Adj, летаргический, negative, fact
летаргия, Noun, летаргия, negative, fact
лечение, Noun, лечение, negative, fact
лжебанкрот, Noun, лжебанкрот, negative, fact
лженаука, Noun, лженаука, negative, opinion
лженаучный, Adj, лженаучный, negative, opinion
лжепредпринимательство, Noun, лжепредпринимательство, negative, fact
лжец, Noun, лжец, negative, opinion
лживость, Noun, лживость, negative, opinion
лживый, Adj, лживый, negative, opinion
лидер оппозиции, NG, лидер оппозиции, neutral, fact
лидер, Noun, лидер, neutral, operator
лидер, Noun, лидер, positive, fact
лидер, Noun, лидер, positive, opinion
лизоблюд, Noun, лизоблюд, negative, opinion
лизоблюдка, Noun, лизоблюдка, negative, opinion
лизоблюдничать, Verb, лизоблюдничать, negative, opinion
лизоблюдство, Noun, лизоблюдство, negative, opinion
ликвидация, Noun, ликвидация, negative, fact
ликование, Noun, ликование, positive, feeling
ликовать, Verb, ликовать, positive, feeling
липа, Noun, липа, negative, opinion
липа, Noun, липа, neutral, fact
липа, Noun, липа, neutral, fact
липовый, Adj, липовый, negative, opinion
липовый, Adj, липовый, neutral, fact
липовый, Adj, липовый, neutral, fact
лирик в душе, NG, лирик в душа, positive, opinion
лирик, Noun, лирик, neutral, fact
лирик, Noun, лирик, positive, opinion
лить воду на мельницу, VG, лить вода на мельница, negative, opinion
лить как из ведра, VG, лить как из ведро, negative, opinion
лихач, Noun, лихач, negative, opinion
лихаческий, Adj, лихаческий, negative, opinion
лихачество, Noun, лихачество, negative, opinion
лихачить, Verb, лихачить, negative, opinion
лихачка, Noun, лихачка, negative, opinion
лихорадить, Verb, лихорадить, negative, feeling
лихорадка, Noun, лихорадка, negative, fact
лихорадка, Noun, лихорадка, negative, feeling
лихорадка, Noun, лихорадка, negative, feeling
лихорадка, Noun, лихорадка, negative, feeling
лихорадочность, Noun, лихорадочность, negative, feeling
лихорадочность, Noun, лихорадочность, negative, opinion
лихорадочный, Adj, лихорадочный, negative, feeling
лихорадочный, Adj, лихорадочный, negative, feeling
лихорадочный, Adj, лихорадочный, negative, feeling
лихорадочный, Adj, лихорадочный, negative, opinion
лицемер, Noun, лицемер, negative, opinion
лицемерие, Noun, лицемерие, negative, opinion
лицемерить, Verb, лицемерить, negative, opinion
лицемерка, Noun, лицемерка, negative, opinion
лицемерность, Noun, лицемерность, negative, opinion
лицемерный, Adj, лицемерный, negative, opinion
лицемерский, Adj, лицемерский, negative, opinion
лицеприятность, Noun, лицеприятность, negative, opinion
лицеприятный, Adj, лицеприятный, negative, opinion
лицо без определенного места жительства, NG, лицо без определенный место жительство, negative, fact
личико, Noun, личико, positive, opinion
лишаться сил, VG, лишаться сила, negative, feeling
лишение, Noun, лишение, negative, fact
лишенный смысла, AG, лишенный смысл, negative, fact
лишить права, VG, лишить право, negative, fact
лишиться дара речи, VG, лишиться дар речь, negative, fact
лишиться жизни, VG, лишиться жизнь, negative, fact
лишиться здоровья, VG, лишиться здоровье, negative, fact
лишиться сил, VG, лишиться сила, negative, feeling
лишний вес, Noun, лишний вес, negative, fact
лишний повод, NG, лишний повод, neutral, opinion
лишний раз, NG, лишний раз, neutral, opinion
лишний, Adj, лишний, negative, opinion
лишний, Adj, лишний, negative, opinion
лишний, Adj, лишний, neutral, fact
лишь марионетка, NG, лишь марионетка, negative, opinion
лишь с натяжкой, NG, лишь с натяжка, negative, opinion
лоботряс, Noun, лоботряс, negative, opinion
лоботряска, Noun, лоботряска, negative, opinion
лоботрясничать, Verb, лоботрясничать, negative, opinion
ловелас, Noun, ловелас, negative, opinion
ловкач, Noun, ловкач, positive, opinion
ловкаческий, Adj, ловкаческий, negative, opinion
ловкачка, Noun, ловкачка, negative, opinion
ловкий, Adj, ловкий, positive, opinion
ловкость, Noun, ловкость, positive, opinion
ловушка, Noun, ловушка, negative, opinion
ловушка, Noun, ловушка, neutral, fact
логика, Noun, логика, neutral, fact
логика, Noun, логика, positive, opinion
логическая дыра, NG, логический дыра, negative, fact
логическая несостыковка, NG, логический несостыковка, negative, fact
логический, Adj, логический, neutral, fact
логический, Adj, логический, positive, opinion
логичность, Noun, логичность, positive, opinion
логичный, Adj, логичный, positive, opinion
лодырничать, Verb, лодырничать, negative, opinion
лодырь, Noun, лодырь, negative, opinion
ложность, Noun, ложность, negative, opinion
ложный, Adj, ложный, negative, opinion
ложь, Noun, ложь, negative, opinion
ломака, Noun, ломака, negative, opinion
ломаного гроша не стоит, VG, ломаный грош не стоить, negative, opinion
ломанье, Noun, ломанье, negative, opinion
ломаться, Verb, ломаться, negative, fact
ломаться, Verb, ломаться, negative, opinion
ломаться, Verb, ломаться, negative, opinion
ломаться, Verb, ломаться, negative, opinion
ломаться, Verb, ломаться, neutral, fact
ломкий, Adj, ломкий, negative, opinion
ломкость, Noun, ломкость, negative, opinion
лопаться, Verb, лопаться, negative, opinion
лопаться, Verb, лопаться, neutral, fact
лопнуть, Verb, лопнуть, negative, opinion
лопнуть, Verb, лопнуть, neutral, fact
лопух, Noun, лопух, negative, opinion
лопух, Noun, лопух, neutral, fact
лопухнуться, Verb, лопухнуться, negative, opinion
лох, Noun, лох, negative, opinion
лохануться, Verb, лохануться, negative, opinion
лохотронщик, Noun, лохотронщик, negative, opinion
лохушка, Noun, лохушка, negative, opinion
лошара, Noun, лошара, negative, opinion
лояльность, Noun, лояльность, positive, opinion
лояльный, Adj, лояльный, positive, opinion
лудоман, Noun, лудоман, negative, fact
лудомания, Noun, лудомания, negative, fact
лузер, Noun, лузер, negative, opinion
лукавить, Verb, лукавить, negative, opinion
лукавость, Noun, лукавость, positive, opinion
лукавство, Noun, лукавство, negative, opinion
лукавство, Noun, лукавство, positive, opinion
лукавый, Adj, лукавый, positive, opinion
лупцевать, Verb, лупцевать, negative, fact
лупцовка, Noun, лупцовка, negative, fact
лучевая болезнь, NG, лучевой болезнь, negative, fact
лучезарный, Adj, лучезарный, positive, opinion
лучик, Noun, лучик, positive, opinion
лучистый, Adj, лучистый, positive, opinion
лучше не бывает, VG, лучше не бывать, positive, opinion
лучше не стало, VG, лучше не стать, negative, opinion
лучший, Adj, лучший, positive, opinion
лыко не вяжет, VG, лыко не вязать, negative, opinion
лысеть, Verb, лысеть, negative, fact
лысина, Noun, лысина, negative, fact
лысоватый, Adj, лысоватый, negative, opinion
лысый, Adj, лысый, negative, fact
льгота, Noun, льгота, positive, fact
льготный, Adj, льготный, positive, fact
льстец, Noun, льстец, negative, opinion
льстивость, Noun, льстивость, negative, opinion
льстивый, Adj, льстивый, negative, opinion
льстить, Verb, льстить, negative, opinion
льстить, Verb, льстить, positive, feeling
льстица, Noun, льстица, negative, opinion
любезность, Noun, любезность, positive, opinion
любезный, Adj, любезный, positive, opinion
любимец, Noun, любимец, positive, opinion
любимица, Noun, любимица, positive, opinion
любимка, Noun, любимка, positive, opinion
любимчик, Noun, любимчик, positive, opinion
любимый, Adj, любимый, positive, opinion
любимый, Noun, любимый, positive, opinion
любительство, Noun, любительство, negative, opinion
любить, Verb, любить, neutral, fact
любить, Verb, любить, positive, feeling
любить, Verb, любить, positive, feeling
любование, Noun, любование, positive, feeling
любоваться, Verb, любоваться, positive, feeling
любовный, Adj, любовный, positive, feeling
любовь к халяве, NG, любовь к халява, negative, opinion
любовь, Noun, любовь, positive, feeling
любопытнейший, Adj, любопытнейший, positive, opinion
любопытность, Noun, любопытность, positive, opinion
любопытный, Adj, любопытный, positive, feeling
любопытный, Adj, любопытный, positive, opinion
любопытство, Noun, любопытство, positive, feeling
любопытствовать, Verb, любопытствовать, positive, feeling
людишки, Noun, людишки, negative, opinion
людоед, Noun, людоед, negative, fact
людоедский, Adj, людоедский, negative, fact
людоедство, Noun, людоедство, negative, fact
люмбаго, Noun, люмбаго, negative, fact
лютовать, Verb, лютовать, negative, opinion
лютость, Noun, лютость, negative, opinion
лютый, Adj, лютый, negative, opinion
лямзить, Verb, лямзить, negative, fact
лямка, Noun, лямка, negative, opinion
лямка, Noun, лямка, neutral, fact
ляп, Noun, ляп, negative, opinion
ляпать, Verb, ляпать, negative, opinion
ляпнуть, Verb, ляпнуть, negative, opinion
маг, Noun, маг, positive, opinion
магический, Adj, магический, positive, opinion
магия, Noun, магия, negative, opinion
магия, Noun, магия, positive, opinion
мажор, Noun, мажор, neutral, fact
мажор, Noun, мажор, positive, feeling
мажорное настроение, NG, мажорный настроение, positive, feeling
мажорный, Adj, мажорный, neutral, fact
мажорный, Adj, мажорный, positive, feeling
мазаться, Verb, мазаться, negative, opinion
мазаться, Verb, мазаться, neutral, fact
мазафака, Noun, мазафака, negative, opinion
мазохизм, Noun, мазохизм, negative, opinion
мазохист, Noun, мазохист, negative, opinion
мазохистка, Noun, мазохистка, negative, opinion
мазохистский, Adj, мазохистский, negative, opinion
максимально открытый, AG, максимально открытый, positive, opinion
малейший, Adj, малейший, negative, opinion
мало интересного, AdvG, мало интересный, negative, opinion
мало информации, NG, мало информация, negative, opinion
мало не покажется, VG, мало не показаться, negative, opinion
мало полезного, AdvG, мало полезный, negative, opinion
мало того, IntroductoryG, мало тот, negative, opinion
мало хорошего, AdvG, мало хороший, negative, opinion
маловажность, Noun, маловажность, negative, opinion
маловажный, Adj, маловажный, negative, opinion
маловато, Adv, маловато, negative, opinion
маловразумительный, Adj, маловразумительный, negative, opinion
маловыгодный, Adj, маловыгодный, negative, opinion
маловыразительность, Noun, маловыразительность, negative, opinion
маловыразительный, Adj, маловыразительный, negative, opinion
малограмотность, Noun, малограмотность, negative, opinion
малограмотный, Adj, малограмотный, negative, opinion
малодушие, Noun, малодушие, negative, opinion
малодушный, Adj, малодушный, negative, opinion
малозначащий, Adj, малозначащий, negative, opinion
малозначимость, Noun, малозначимость, negative, opinion
малозначимый, Adj, малозначимый, negative, opinion
малозначительный, Adj, малозначительный, negative, opinion
малоимущий, Adj, малоимущий, negative, opinion
малоинтересный, Adj, малоинтересный, negative, opinion
малокомпетентность, Noun, малокомпетентность, negative, opinion
малокомпетентный, Adj, малокомпетентный, negative, opinion
малокровие, Noun, малокровие, negative, fact
малообеспеченность, Noun, малообеспеченность, negative, opinion
малообеспеченный, Adj, малообеспеченный, negative, opinion
малообоснованность, Noun, малообоснованность, negative, opinion
малообоснованный, Adj, малообоснованный, negative, opinion
малообразованный, Adj, малообразованный, negative, opinion
малообщительность, Noun, малообщительность, negative, opinion
малообщительный, Adj, малообщительный, negative, opinion
малоопытность, Noun, малоопытность, negative, opinion
малоопытный, Adj, малоопытный, negative, opinion
малоосмысленность, Noun, малоосмысленность, negative, opinion
малоосмысленный, Adj, малоосмысленный, negative, opinion
малопонятный, Adj, малопонятный, negative, opinion
малопочтенный, Adj, малопочтенный, negative, opinion
малопригодность, Noun, малопригодность, negative, opinion
малопригодный, Adj, малопригодный, negative, opinion
малопримечательный, Adj, малопримечательный, negative, opinion
малопристойность, Noun, малопристойность, negative, opinion
малопристойный, Adj, малопристойный, negative, opinion
малоприятный, Adj, малоприятный, negative, opinion
малопродуктивный, Adj, малопродуктивный, negative, opinion
малореалистичный, Adj, малореалистичный, negative, opinion
малорезультативный, Adj, малорезультативный, negative, opinion
малосведущий, Adj, малосведущий, negative, opinion
малосильный, Adj, малосильный, negative, opinion
